house_id,montly_rent,deposit_value,house_rules,street,size,lat_long,scrapy_datetime
1710699,EUR 710,EUR 1200,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Ellerstraße,Property: 20 m2,['51.21539'],2021/05/11 - 06:12:11
1724148,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:12:19
1721872,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:12:27
1718361,EUR 900,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Kirchfeldstraße,Property: 25 m2,['51.21231'],2021/05/11 - 06:12:30
1719840,EUR 850,EUR 1700,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Brückenstraße,Property: 34 m2,['51.21598'],2021/05/11 - 06:12:32
1724149,,,[],,,,2021/05/11 - 06:12:39
1721873,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:12:42
1705818,EUR 1050,EUR 1050,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,['51.22123'],2021/05/11 - 06:12:44
1705843,EUR 950,EUR 950,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,['51.22123'],2021/05/11 - 06:12:49
1705836,EUR 950,EUR 950,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,['51.22123'],2021/05/11 - 06:12:55
1711349,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Harleßstraße,Property: 24 m2,['51.2445'],2021/05/11 - 06:12:57
1717355,EUR 1150,EUR 1200,"['Shared facilities', 'Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Hoffeldstraße,Property: 38 m2,['51.22699'],2021/05/11 - 06:13:00
1711689,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Harleßstraße,Property: 27 m2,['51.2445'],2021/05/11 - 06:13:02
1705841,EUR 990,EUR 995,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,['51.22123'],2021/05/11 - 06:13:04
1705823,EUR 990,EUR 995,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,['51.22123'],2021/05/11 - 06:13:07
1718013,EUR 1150,EUR 1150,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed', 'Pets not allowed']",Derfflingerstraße,Property: 65 m2,['51.25745'],2021/05/11 - 06:13:09
1722984,,,[],,,,2021/05/11 - 06:13:17
1713751,EUR 1500,EUR 2000,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Radeberger Straße,Property: 60 m2,['51.2289'],2021/05/11 - 06:13:19
1718034,EUR 590,EUR 1200,"['Shared garden', 'Shared toilet', 'Shared kitchen', 'No Parking', 'No living room', 'No basement', 'WiFi', 'Living room furniture', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Reisholzer Straße,Property: 100 m2,['51.20634'],2021/05/11 - 06:13:21
1705840,EUR 1050,EUR 1050,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Closet', 'Central heating', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,['51.22123'],2021/05/11 - 06:13:26
1704580,EUR 850,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Westfalenstraße,Furnished,['51.26296'],2021/05/11 - 06:13:30
1716967,EUR 1150,EUR 1200,"['Shared facilities', 'Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Hoffeldstraße,Property: 38 m2,['51.22699'],2021/05/11 - 06:13:36
1722111,EUR 1200,EUR 500,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Karl-Anton-Straße,Property: 56 m2,['51.22539'],2021/05/11 - 06:13:39
1709049,EUR 900,EUR 1000,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Washing machine', 'Closet', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Ahnfeldstraße,Property: 40 m2,['51.24032'],2021/05/11 - 06:13:41
1710699,EUR 710,EUR 1200,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Ellerstraße,Property: 20 m2,['51.21539'],2021/05/11 - 06:13:43
1724148,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:13:45
1721872,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:13:47
1718361,EUR 900,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Kirchfeldstraße,Property: 25 m2,['51.21231'],2021/05/11 - 06:13:50
1719840,EUR 850,EUR 1700,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Brückenstraße,Property: 34 m2,['51.21598'],2021/05/11 - 06:13:52
1724149,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:13:54
1721873,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,['51.22102'],2021/05/11 - 06:13:56
