,house_id,scrapy_datetime,city,street,size,pets,montly_rent,deposit_value,lat,long
0,1719697,2021/05/13 - 12:16:03,Berlin,Nürnberger Straße,22,Pets not allowed,850,1700,52.50027,13.33596
1,1716752,2021/05/13 - 12:16:05,Berlin,Schnellerstraße,90,Pets not allowed,450,900,52.45495,13.51636
2,1716755,2021/05/13 - 12:16:07,Berlin,Schnellerstraße,90,Pets not allowed,475,950,52.45495,13.51636
3,1724139,2021/05/13 - 12:16:09,Berlin,Otto-Braun-Straße,25,Pets not allowed,760,500,52.52449,13.41863
4,1721869,2021/05/13 - 12:16:11,Berlin,Otto-Braun-Straße,25,Pets not allowed,760,500,52.52449,13.41863
5,1719698,2021/05/13 - 12:16:13,Berlin,Nürnberger Straße,22,Pets not allowed,900,1800,52.50027,13.33596
6,1721868,2021/05/13 - 12:16:15,Berlin,Otto-Braun-Straße,24,Pets not allowed,860,500,52.52449,13.41863
7,1208756,2021/05/13 - 12:16:17,Berlin,Köpenicker Straße,26,Pets not allowed,900,1800,52.5097,13.42231
8,1699607,2021/05/13 - 12:16:19,Berlin,Takustraße,4000,Pets negotiable,990,0,52.45695,13.29344
9,1643513,2021/05/13 - 12:16:21,Berlin,Köpenicker Straße,26,Pets not allowed,950,1900,52.5097,13.42231
10,1717426,2021/05/13 - 12:16:25,Berlin,Koburger Straße,30,Pets not allowed,950,2000,52.4815,13.34618
11,1208758,2021/05/13 - 12:16:27,Berlin,Köpenicker Straße,41,Pets not allowed,1200,2400,52.5097,13.42231
12,1647377,2021/05/13 - 12:16:29,Berlin,Kurfürstenstraße,37,Pets not allowed,1200,2400,52.49943,13.36596
13,1634187,2021/05/13 - 12:16:31,Berlin,Heidenfeldstraße,43,Pets not allowed,1100,2200,52.52587,13.45003
14,1724311,2021/05/13 - 12:16:33,Berlin,Triftstraße,37,Pets not allowed,800,900,52.54336,13.35664
15,1172033,2021/05/13 - 12:16:35,Berlin,Hildegard-Jadamowitz-Straße,39,Pets not allowed,1040,500,52.515991,13.4416672
16,1317482,2021/05/13 - 12:16:38,Berlin,Emser Straße,45,Pets not allowed,950,900,52.4681676,13.4288978
17,1546447,2021/05/13 - 12:16:39,Berlin,Osnabrücker Straße,25,Pets negotiable,920,1000,52.52614,13.30096
18,1668446,2021/05/13 - 12:16:42,Berlin,Großbeerenstraße,41,Pets not allowed,1190,2000,52.49326,13.38369
19,1721735,2021/05/13 - 12:16:44,Berlin,Wisbyer Straße,46,Pets not allowed,1200,1500,52.55389,13.41636
20,1661180,2021/05/13 - 12:16:46,Berlin,Markgrafendamm,41,Pets not allowed,1200,2400,52.4978,13.46464
21,1686354,2021/05/13 - 12:16:48,Berlin,Bornholmer Straße,45,Pets not allowed,1200,1500,52.55452,13.40682
22,1686331,2021/05/13 - 12:16:50,Berlin,Boxhagener Straße,42,Pets not allowed,1200,1500,52.50725,13.46843
23,1690544,2021/05/13 - 12:16:52,Berlin,Wisbyer Straße,46,Pets not allowed,1200,1500,52.55389,13.41636
24,1719697,2021/05/13 - 12:16:54,Berlin,Nürnberger Straße,22,Pets not allowed,850,1700,52.50027,13.33596
25,1716752,2021/05/13 - 12:16:56,Berlin,Schnellerstraße,90,Pets not allowed,450,900,52.45495,13.51636
26,1716755,2021/05/13 - 12:16:58,Berlin,Schnellerstraße,90,Pets not allowed,475,950,52.45495,13.51636
27,1724139,2021/05/13 - 12:17:00,Berlin,Otto-Braun-Straße,25,Pets not allowed,760,500,52.52449,13.41863
28,1721869,2021/05/13 - 12:17:04,Berlin,Otto-Braun-Straße,25,Pets not allowed,760,500,52.52449,13.41863
29,1719698,2021/05/13 - 12:17:06,Berlin,Nürnberger Straße,22,Pets not allowed,900,1800,52.50027,13.33596
30,1721868,2021/05/13 - 12:17:08,Berlin,Otto-Braun-Straße,24,Pets not allowed,860,500,52.52449,13.41863
31,1208756,2021/05/13 - 12:17:10,Berlin,Köpenicker Straße,26,Pets not allowed,900,1800,52.5097,13.42231
32,1699607,2021/05/13 - 12:17:12,Berlin,Takustraße,4000,Pets negotiable,990,0,52.45695,13.29344
33,1643513,2021/05/13 - 12:17:14,Berlin,Köpenicker Straße,26,Pets not allowed,950,1900,52.5097,13.42231
34,1717426,2021/05/13 - 12:17:16,Berlin,Koburger Straße,30,Pets not allowed,950,2000,52.4815,13.34618
35,1208758,2021/05/13 - 12:17:18,Berlin,Köpenicker Straße,41,Pets not allowed,1200,2400,52.5097,13.42231
36,1647377,2021/05/13 - 12:17:20,Berlin,Kurfürstenstraße,37,Pets not allowed,1200,2400,52.49943,13.36596
